Channel			  :,CH1
Frequency			  :,F=  ?
Period 			  :,T=  ?
PK-PK				  :,Vpp=4.480V
Average			  :,V=-13.80mV
Vertical pos		  :,0.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,40.00mV
Time interval		  :,0.00uS

index,CH1_Voltage(mV)
973,0.00
974,40.00
975,0.00
976,40.00
977,0.00
978,0.00
979,0.00
980,0.00
981,0.00
982,0.00
983,0.00
984,0.00
985,0.00
986,0.00
987,0.00
988,0.00
989,0.00
990,0.00
991,0.00
992,40.00
993,0.00
994,40.00
995,40.00
996,40.00
997,40.00
998,0.00
999,40.00
1000,40.00
1001,0.00
1002,0.00
1003,0.00
1004,0.00
1005,0.00
1006,0.00
1007,0.00
1008,40.00
1009,0.00
1010,40.00
1011,0.00
1012,40.00
1013,0.00
1014,40.00
1015,0.00
1016,40.00
1017,0.00
1018,0.00
1019,40.00
1020,0.00
1021,0.00
1022,0.00
1023,40.00
1024,40.00
1025,40.00
1026,0.00
1027,0.00
1028,0.00
1029,0.00
1030,40.00
1031,0.00
1032,40.00
1033,0.00
1034,40.00
1035,0.00
1036,0.00
1037,0.00
1038,0.00
1039,0.00
1040,40.00
1041,40.00
1042,40.00
1043,40.00
1044,0.00
1045,0.00
1046,0.00
1047,0.00
1048,0.00
1049,0.00
1050,0.00
1051,0.00
1052,0.00
1053,0.00
1054,40.00
1055,0.00
1056,40.00
1057,0.00
1058,0.00
1059,0.00
1060,0.00
1061,0.00
1062,0.00
1063,0.00
1064,0.00
1065,0.00
1066,0.00
1067,0.00
1068,0.00
1069,40.00
1070,40.00
1071,40.00
1072,40.00
1073,0.00
1074,0.00
1075,0.00
1076,0.00
1077,0.00
1078,40.00
1079,0.00
1080,40.00
1081,0.00
1082,0.00
1083,0.00
1084,0.00
1085,0.00
1086,0.00
1087,0.00
1088,0.00
1089,0.00
1090,40.00
1091,0.00
1092,0.00
1093,0.00
1094,0.00
1095,0.00
1096,40.00
1097,0.00
1098,40.00
1099,0.00
1100,40.00
1101,0.00
1102,40.00
1103,0.00
1104,40.00
1105,0.00
1106,40.00
1107,0.00
1108,0.00
1109,0.00
1110,0.00
1111,0.00
1112,0.00
1113,40.00
1114,0.00
1115,40.00
1116,0.00
1117,0.00
1118,0.00
1119,0.00
1120,40.00
1121,0.00
1122,0.00
1123,0.00
1124,0.00
1125,0.00
1126,0.00
1127,0.00
1128,40.00
1129,0.00
1130,0.00
1131,0.00
1132,0.00
1133,40.00
1134,40.00
1135,40.00
1136,40.00
1137,0.00
1138,0.00
1139,0.00
1140,0.00
1141,40.00
1142,0.00
1143,0.00
1144,40.00
1145,0.00
1146,40.00
1147,0.00
1148,40.00
1149,0.00
1150,40.00
1151,0.00
1152,40.00
1153,0.00
1154,0.00
1155,40.00
1156,0.00
1157,0.00
1158,0.00
1159,40.00
1160,0.00
1161,40.00
1162,40.00
1163,0.00
1164,40.00
1165,0.00
1166,0.00
1167,0.00
1168,0.00
1169,0.00
1170,40.00
1171,0.00
1172,0.00
1173,0.00
1174,40.00
1175,0.00
1176,0.00
1177,40.00
1178,40.00
1179,0.00
1180,0.00
1181,0.00
1182,0.00
1183,0.00
1184,40.00
1185,0.00
1186,0.00
1187,0.00
1188,40.00
1189,0.00
1190,0.00
1191,0.00
1192,40.00
1193,0.00
1194,0.00
1195,0.00
1196,40.00
1197,0.00
1198,0.00
1199,0.00
1200,40.00
1201,0.00
1202,0.00
1203,40.00
1204,0.00
1205,0.00
1206,40.00
1207,0.00
1208,0.00
1209,0.00
1210,0.00
1211,0.00
1212,40.00
1213,0.00
1214,40.00
1215,0.00
1216,40.00
1217,0.00
1218,40.00
1219,0.00
1220,0.00
1221,0.00
1222,0.00
1223,0.00
1224,40.00
1225,40.00
1226,0.00
1227,0.00
1228,0.00
1229,0.00
1230,40.00
1231,0.00
1232,0.00
1233,0.00
1234,0.00
1235,0.00
1236,40.00
1237,0.00
1238,0.00
1239,0.00
1240,0.00
1241,0.00
1242,0.00
1243,0.00
1244,40.00
1245,0.00
1246,0.00
1247,0.00
1248,40.00
1249,0.00
1250,0.00
1251,0.00
1252,40.00
1253,0.00
1254,0.00
1255,0.00
1256,40.00
1257,0.00
1258,0.00
1259,0.00
1260,0.00
1261,0.00
1262,40.00
1263,0.00
1264,40.00
1265,0.00
1266,0.00
1267,0.00
1268,0.00
1269,0.00
1270,40.00
1271,0.00
1272,40.00
1273,0.00
1274,40.00
1275,0.00
1276,40.00
1277,0.00
1278,40.00
1279,0.00
1280,40.00
1281,0.00
1282,40.00
1283,0.00
1284,40.00
1285,0.00
1286,40.00
1287,0.00
1288,0.00
1289,0.00
1290,0.00
1291,0.00
1292,40.00
1293,0.00
1294,0.00
1295,0.00
1296,0.00
1297,0.00
1298,0.00
1299,0.00
1300,40.00
1301,0.00
1302,0.00
1303,0.00
1304,0.00
1305,0.00
1306,40.00
1307,0.00
1308,0.00
1309,0.00
1310,40.00
1311,0.00
1312,0.00
1313,0.00
1314,0.00
1315,0.00
1316,40.00
1317,0.00
1318,0.00
1319,0.00
1320,0.00
1321,0.00
1322,0.00
1323,40.00
1324,0.00
1325,0.00
1326,40.00
1327,0.00
1328,40.00
1329,0.00
1330,40.00
1331,0.00
1332,0.00
1333,0.00
1334,0.00
1335,0.00
1336,40.00
1337,40.00
1338,40.00
1339,0.00
1340,40.00
1341,0.00
1342,0.00
1343,0.00
1344,40.00
1345,0.00
1346,40.00
1347,0.00
1348,40.00
1349,0.00
1350,0.00
1351,0.00
1352,0.00
1353,0.00
1354,0.00
1355,0.00
1356,0.00
1357,0.00
1358,0.00
1359,0.00
1360,40.00
1361,0.00
1362,0.00
1363,0.00
1364,40.00
1365,0.00
1366,0.00
1367,0.00
1368,40.00
1369,0.00
1370,0.00
1371,0.00
1372,40.00
1373,0.00
1374,40.00
1375,0.00
1376,40.00
1377,40.00
1378,0.00
1379,0.00
1380,0.00
1381,0.00
1382,0.00
1383,0.00
1384,0.00
1385,0.00
1386,0.00
1387,0.00
1388,0.00
1389,0.00
1390,40.00
1391,0.00
1392,0.00
1393,40.00
1394,120.00
1395,200.00
1396,320.00
1397,360.00
1398,240.00
1399,40.00
1400,-120.00
1401,-360.00
1402,-640.00
1403,-840.00
1404,-1000.00
1405,-1120.00
1406,-1200.00
1407,-1200.00
1408,-1200.00
1409,-1040.00
1410,-840.00
1411,-560.00
1412,-40.00
1413,360.00
1414,840.00
1415,1320.00
1416,1640.00
1417,1960.00
1418,2120.00
1419,2120.00
1420,2040.00
1421,1720.00
1422,1640.00
1423,1440.00
1424,1480.00
1425,1320.00
1426,1400.00
1427,1320.00
1428,1400.00
1429,1360.00
1430,1360.00
1431,1320.00
1432,1360.00
1433,1320.00
1434,1200.00
1435,880.00
1436,560.00
1437,120.00
1438,-360.00
1439,-880.00
1440,-1280.00
1441,-1640.00
1442,-1920.00
1443,-2040.00
1444,-2040.00
1445,-1880.00
1446,-1680.00
1447,-1440.00
1448,-1400.00
1449,-1320.00
1450,-1360.00
1451,-1280.00
1452,-1360.00
1453,-1320.00
1454,-1360.00
1455,-1360.00
1456,-1360.00
1457,-1360.00
1458,-1360.00
1459,-1200.00
1460,-960.00
1461,-520.00
1462,-120.00
1463,360.00
1464,840.00
1465,1320.00
1466,1640.00
1467,1960.00
1468,2120.00
1469,2080.00
1470,1960.00
1471,1680.00
1472,1520.00
1473,1360.00
1474,1360.00
1475,1320.00
1476,1360.00
1477,1320.00
1478,1360.00
1479,1360.00
1480,1440.00
1481,1360.00
1482,1440.00
1483,1360.00
1484,1280.00
1485,1000.00
1486,640.00
1487,160.00
1488,-280.00
1489,-840.00
1490,-1240.00
1491,-1600.00
1492,-1920.00
1493,-2040.00
1494,-2040.00
1495,-1880.00
1496,-1680.00
1497,-1440.00
1498,-1440.00
1499,-1360.00
1500,-1360.00
1501,-1320.00
1502,-1360.00
1503,-1360.00
1504,-1360.00
1505,-1400.00
1506,-1400.00
1507,-1400.00
1508,-1360.00
1509,-1200.00
1510,-920.00
1511,-520.00
1512,-80.00
1513,440.00
1514,840.00
1515,1320.00
1516,1680.00
1517,1960.00
1518,2160.00
1519,2080.00
1520,1960.00
1521,1680.00
1522,1560.00
1523,1360.00
1524,1360.00
1525,1320.00
1526,1360.00
1527,1320.00
1528,1400.00
1529,1400.00
1530,1480.00
1531,1360.00
1532,1480.00
1533,1360.00
1534,1280.00
1535,920.00
1536,600.00
1537,40.00
1538,-360.00
1539,-880.00
1540,-1320.00
1541,-1720.00
1542,-1960.00
1543,-2080.00
1544,-2080.00
1545,-2000.00
1546,-1720.00
1547,-1480.00
1548,-1440.00
1549,-1360.00
1550,-1360.00
1551,-1320.00
1552,-1360.00
1553,-1360.00
1554,-1400.00
1555,-1400.00
1556,-1400.00
1557,-1400.00
1558,-1360.00
1559,-1200.00
1560,-960.00
1561,-520.00
1562,-80.00
1563,440.00
1564,880.00
1565,1320.00
1566,1680.00
1567,1960.00
1568,2120.00
1569,2120.00
1570,1960.00
1571,1680.00
1572,1560.00
1573,1360.00
1574,1360.00
1575,1320.00
1576,1360.00
1577,1320.00
1578,1400.00
1579,1400.00
1580,1440.00
1581,1400.00
1582,1440.00
1583,1360.00
1584,1280.00
1585,920.00
